id,name,module,category,status,relationship,local_status,green_eligible,rustswitch_interface,differences,runtime_reason,runtime_scope,source_path,source_line,document_path,status_snapshot_scope,current_release_gate
registration:api:core:msrp:1890,msrp,core,fs_api,not_implemented,no_compatible_entrypoint,not_run,False,未提供此 FreeSWITCH 注册入口,"[""注册描述和帮助字符串不包含完整错误、权限、事件与竞态合同。"", ""实际模块构建/加载、动态注册和每个子命令仍须原版运行发现。""]",未采集绑定当前源码的必需运行证据,没有绑定此原始条目的当前本地运行证据,src/switch_msrp.c,1890,freeswitch-compatibility/05-api-contracts.md,historical_runtime_snapshot,blocked
registration:api:core:uuid_msrp_send:1892,uuid_msrp_send,core,fs_api,not_implemented,no_compatible_entrypoint,not_run,False,未提供此 FreeSWITCH 注册入口,"[""注册描述和帮助字符串不包含完整错误、权限、事件与竞态合同。"", ""实际模块构建/加载、动态注册和每个子命令仍须原版运行发现。""]",未采集绑定当前源码的必需运行证据,没有绑定此原始条目的当前本地运行证据,src/switch_msrp.c,1892,freeswitch-compatibility/05-api-contracts.md,historical_runtime_snapshot,blocked
registration:api:core:vpx:2026,vpx,core,fs_api,not_implemented,no_compatible_entrypoint,not_run,False,未提供此 FreeSWITCH 注册入口,"[""注册描述和帮助字符串不包含完整错误、权限、事件与竞态合同。"", ""实际模块构建/加载、动态注册和每个子命令仍须原版运行发现。""]",未采集绑定当前源码的必需运行证据,没有绑定此原始条目的当前本地运行证据,src/switch_vpx.c,2026,freeswitch-compatibility/05-api-contracts.md,historical_runtime_snapshot,blocked
registration:api:mod_alsa:alsa:817,alsa,mod_alsa,fs_api,not_implemented,no_compatible_entrypoint,not_run,False,未提供此 FreeSWITCH 注册入口,"[""注册描述和帮助字符串不包含完整错误、权限、事件与竞态合同。"", ""实际模块构建/加载、动态注册和每个子命令仍须原版运行发现。""]",未采集绑定当前源码的必需运行证据,没有绑定此原始条目的当前本地运行证据,src/mod/endpoints/mod_alsa/mod_alsa.c,817,freeswitch-compatibility/05-api-contracts.md,historical_runtime_snapshot,blocked
registration:api:mod_amqp:amqp:76,amqp,mod_amqp,fs_api,not_implemented,no_compatible_entrypoint,not_run,False,未提供此 FreeSWITCH 注册入口,"[""注册描述和帮助字符串不包含完整错误、权限、事件与竞态合同。"", ""实际模块构建/加载、动态注册和每个子命令仍须原版运行发现。""]",未采集绑定当前源码的必需运行证据,没有绑定此原始条目的当前本地运行证据,src/mod/event_handlers/mod_amqp/mod_amqp.c,76,freeswitch-compatibility/05-api-contracts.md,historical_runtime_snapshot,blocked
registration:api:mod_amr:amr_debug:679,amr_debug,mod_amr,fs_api,not_implemented,no_compatible_entrypoint,not_run,False,未提供此 FreeSWITCH 注册入口,"[""注册描述和帮助字符串不包含完整错误、权限、事件与竞态合同。"", ""实际模块构建/加载、动态注册和每个子命令仍须原版运行发现。""]",未采集绑定当前源码的必需运行证据,没有绑定此原始条目的当前本地运行证据,src/mod/codecs/mod_amr/mod_amr.c,679,freeswitch-compatibility/05-api-contracts.md,historical_runtime_snapshot,blocked
registration:api:mod_amrwb:amrwb_debug:609,amrwb_debug,mod_amrwb,fs_api,not_implemented,no_compatible_entrypoint,not_run,False,未提供此 FreeSWITCH 注册入口,"[""注册描述和帮助字符串不包含完整错误、权限、事件与竞态合同。"", ""实际模块构建/加载、动态注册和每个子命令仍须原版运行发现。""]",未采集绑定当前源码的必需运行证据,没有绑定此原始条目的当前本地运行证据,src/mod/codecs/mod_amrwb/mod_amrwb.c,609,freeswitch-compatibility/05-api-contracts.md,historical_runtime_snapshot,blocked
registration:api:mod_av:av:237,av,mod_av,fs_api,not_implemented,no_compatible_entrypoint,not_run,False,未提供此 FreeSWITCH 注册入口,"[""注册描述和帮助字符串不包含完整错误、权限、事件与竞态合同。"", ""实际模块构建/加载、动态注册和每个子命令仍须原版运行发现。""]",未采集绑定当前源码的必需运行证据,没有绑定此原始条目的当前本地运行证据,src/mod/applications/mod_av/mod_av.c,237,freeswitch-compatibility/05-api-contracts.md,historical_runtime_snapshot,blocked
registration:api:mod_avmd:avmd:1203,avmd,mod_avmd,fs_api,not_implemented,no_compatible_entrypoint,not_run,False,未提供此 FreeSWITCH 注册入口,"[""注册描述和帮助字符串不包含完整错误、权限、事件与竞态合同。"", ""实际模块构建/加载、动态注册和每个子命令仍须原版运行发现。""]",未采集绑定当前源码的必需运行证据,没有绑定此原始条目的当前本地运行证据,src/mod/applications/mod_avmd/mod_avmd.c,1203,freeswitch-compatibility/05-api-contracts.md,historical_runtime_snapshot,blocked
registration:api:mod_basic:basic:378,basic,mod_basic,fs_api,not_implemented,no_compatible_entrypoint,not_run,False,未提供此 FreeSWITCH 注册入口,"[""注册描述和帮助字符串不包含完整错误、权限、事件与竞态合同。"", ""实际模块构建/加载、动态注册和每个子命令仍须原版运行发现。""]",未采集绑定当前源码的必需运行证据,没有绑定此原始条目的当前本地运行证据,src/mod/languages/mod_basic/mod_basic.c,378,freeswitch-compatibility/05-api-contracts.md,historical_runtime_snapshot,blocked
registration:api:mod_blacklist:blacklist:328,blacklist,mod_blacklist,fs_api,not_implemented,no_compatible_entrypoint,not_run,False,未提供此 FreeSWITCH 注册入口,"[""注册描述和帮助字符串不包含完整错误、权限、事件与竞态合同。"", ""实际模块构建/加载、动态注册和每个子命令仍须原版运行发现。""]",未采集绑定当前源码的必需运行证据,没有绑定此原始条目的当前本地运行证据,src/mod/applications/mod_blacklist/mod_blacklist.c,328,freeswitch-compatibility/05-api-contracts.md,historical_runtime_snapshot,blocked
registration:api:mod_callcenter:callcenter_break:4265,callcenter_break,mod_callcenter,fs_api,not_implemented,no_compatible_entrypoint,not_run,False,未提供此 FreeSWITCH 注册入口,"[""注册描述和帮助字符串不包含完整错误、权限、事件与竞态合同。"", ""实际模块构建/加载、动态注册和每个子命令仍须原版运行发现。""]",未采集绑定当前源码的必需运行证据,没有绑定此原始条目的当前本地运行证据,src/mod/applications/mod_callcenter/mod_callcenter.c,4265,freeswitch-compatibility/05-api-contracts.md,historical_runtime_snapshot,blocked
registration:api:mod_callcenter:callcenter_config:4264,callcenter_config,mod_callcenter,fs_api,not_implemented,no_compatible_entrypoint,not_run,False,未提供此 FreeSWITCH 注册入口,"[""注册描述和帮助字符串不包含完整错误、权限、事件与竞态合同。"", ""实际模块构建/加载、动态注册和每个子命令仍须原版运行发现。""]",未采集绑定当前源码的必需运行证据,没有绑定此原始条目的当前本地运行证据,src/mod/applications/mod_callcenter/mod_callcenter.c,4264,freeswitch-compatibility/05-api-contracts.md,historical_runtime_snapshot,blocked
registration:api:mod_cdr_csv:cdr_csv:457,cdr_csv,mod_cdr_csv,fs_api,not_implemented,no_compatible_entrypoint,not_run,False,未提供此 FreeSWITCH 注册入口,"[""注册描述和帮助字符串不包含完整错误、权限、事件与竞态合同。"", ""实际模块构建/加载、动态注册和每个子命令仍须原版运行发现。""]",未采集绑定当前源码的必需运行证据,没有绑定此原始条目的当前本地运行证据,src/mod/event_handlers/mod_cdr_csv/mod_cdr_csv.c,457,freeswitch-compatibility/05-api-contracts.md,historical_runtime_snapshot,blocked
registration:api:mod_cidlookup:cidlookup:835,cidlookup,mod_cidlookup,fs_api,not_implemented,no_compatible_entrypoint,not_run,False,未提供此 FreeSWITCH 注册入口,"[""注册描述和帮助字符串不包含完整错误、权限、事件与竞态合同。"", ""实际模块构建/加载、动态注册和每个子命令仍须原版运行发现。""]",未采集绑定当前源码的必需运行证据,没有绑定此原始条目的当前本地运行证据,src/mod/applications/mod_cidlookup/mod_cidlookup.c,835,freeswitch-compatibility/05-api-contracts.md,historical_runtime_snapshot,blocked
registration:api:mod_cluechoo:cluechoo:85,cluechoo,mod_cluechoo,fs_api,not_implemented,no_compatible_entrypoint,not_run,False,未提供此 FreeSWITCH 注册入口,"[""注册描述和帮助字符串不包含完整错误、权限、事件与竞态合同。"", ""实际模块构建/加载、动态注册和每个子命令仍须原版运行发现。""]",未采集绑定当前源码的必需运行证据,没有绑定此原始条目的当前本地运行证据,src/mod/applications/mod_cluechoo/mod_cluechoo.c,85,freeswitch-compatibility/05-api-contracts.md,historical_runtime_snapshot,blocked
registration:api:mod_commands:...:7664,...,mod_commands,fs_api,not_implemented,no_compatible_entrypoint,not_run,False,未提供此 FreeSWITCH 注册入口,"[""注册描述和帮助字符串不包含完整错误、权限、事件与竞态合同。"", ""实际模块构建/加载、动态注册和每个子命令仍须原版运行发现。""]",未采集绑定当前源码的必需运行证据,没有绑定此原始条目的当前本地运行证据,src/mod/applications/mod_commands/mod_commands.c,7664,freeswitch-compatibility/05-api-contracts.md,historical_runtime_snapshot,blocked
registration:api:mod_commands:acl:7644,acl,mod_commands,fs_api,not_implemented,no_compatible_entrypoint,not_run,False,未提供此 FreeSWITCH 注册入口,"[""注册描述和帮助字符串不包含完整错误、权限、事件与竞态合同。"", ""实际模块构建/加载、动态注册和每个子命令仍须原版运行发现。""]",未采集绑定当前源码的必需运行证据,没有绑定此原始条目的当前本地运行证据,src/mod/applications/mod_commands/mod_commands.c,7644,freeswitch-compatibility/05-api-contracts.md,historical_runtime_snapshot,blocked
registration:api:mod_commands:alias:7645,alias,mod_commands,fs_api,not_implemented,no_compatible_entrypoint,not_run,False,未提供此 FreeSWITCH 注册入口,"[""注册描述和帮助字符串不包含完整错误、权限、事件与竞态合同。"", ""实际模块构建/加载、动态注册和每个子命令仍须原版运行发现。""]",未采集绑定当前源码的必需运行证据,没有绑定此原始条目的当前本地运行证据,src/mod/applications/mod_commands/mod_commands.c,7645,freeswitch-compatibility/05-api-contracts.md,historical_runtime_snapshot,blocked
registration:api:mod_commands:banner:7646,banner,mod_commands,fs_api,not_implemented,no_compatible_entrypoint,not_run,False,未提供此 FreeSWITCH 注册入口,"[""注册描述和帮助字符串不包含完整错误、权限、事件与竞态合同。"", ""实际模块构建/加载、动态注册和每个子命令仍须原版运行发现。""]",未采集绑定当前源码的必需运行证据,没有绑定此原始条目的当前本地运行证据,src/mod/applications/mod_commands/mod_commands.c,7646,freeswitch-compatibility/05-api-contracts.md,historical_runtime_snapshot,blocked
registration:api:mod_commands:bg_spawn:7634,bg_spawn,mod_commands,fs_api,not_implemented,no_compatible_entrypoint,not_run,False,未提供此 FreeSWITCH 注册入口,"[""注册描述和帮助字符串不包含完整错误、权限、事件与竞态合同。"", ""实际模块构建/加载、动态注册和每个子命令仍须原版运行发现。""]",未采集绑定当前源码的必需运行证据,没有绑定此原始条目的当前本地运行证据,src/mod/applications/mod_commands/mod_commands.c,7634,freeswitch-compatibility/05-api-contracts.md,historical_runtime_snapshot,blocked
registration:api:mod_commands:bg_system:7632,bg_system,mod_commands,fs_api,not_implemented,no_compatible_entrypoint,not_run,False,未提供此 FreeSWITCH 注册入口,"[""注册描述和帮助字符串不包含完整错误、权限、事件与竞态合同。"", ""实际模块构建/加载、动态注册和每个子命令仍须原版运行发现。""]",未采集绑定当前源码的必需运行证据,没有绑定此原始条目的当前本地运行证据,src/mod/applications/mod_commands/mod_commands.c,7632,freeswitch-compatibility/05-api-contracts.md,historical_runtime_snapshot,blocked
registration:api:mod_commands:bgapi:7647,bgapi,mod_commands,fs_api,not_implemented,no_compatible_entrypoint,not_run,False,未提供此 FreeSWITCH 注册入口,"[""注册描述和帮助字符串不包含完整错误、权限、事件与竞态合同。"", ""实际模块构建/加载、动态注册和每个子命令仍须原版运行发现。""]",未采集绑定当前源码的必需运行证据,没有绑定此原始条目的当前本地运行证据,src/mod/applications/mod_commands/mod_commands.c,7647,freeswitch-compatibility/05-api-contracts.md,historical_runtime_snapshot,blocked
